Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
1,Walmart,WMT,Retailing,General Merchandisers,yes,no,no,no,0.0,no,no,no,yes,no,2100000,397475.0,611289,6.7,11680,-14.6,243197,C. Douglas McMillon,U.S.,Bentonville,AR,www.stock.walmart.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",416986.0,2023-08-02
2,Amazon,AMZN,Retailing,Internet Services and Retailing,no,no,no,no,0.0,no,no,no,yes,no,1541000,1058440.0,513983,9.4,-2722,-108.2,462675,Andrew R. Jassy,U.S.,Seattle,WA,www.amazon.com,Public,"Market value as of July 17, 2023.",1370373.0,2023-08-02
3,Exxon Mobil,XOM,Energy,Petroleum Refining,yes,no,no,no,3.0,yes,no,no,yes,no,62000,446424.0,413680,44.8,55740,141.9,369067,Darren W. Woods,U.S.,Irving,TX,www.exxonmobil.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",409878.0,2023-08-02
4,Apple,AAPL,Technology,"Computers, Office Equipment",yes,no,no,yes,-1.0,no,yes,no,yes,no,164000,2609039.0,394328,7.8,99803,5.4,352755,Timothy D. Cook,U.S.,Cupertino,CA,www.apple.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",3051211.0,2023-08-02
5,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,yes,no,no,yes,0.0,no,no,no,yes,no,400000,440854.0,324162,12.7,20120,16.4,245705,Andrew P. Witty,U.S.,Minnetonka,MN,www.unitedhealthgroup.com,Public,"Market value as of July 17, 2023.",450694.0,2023-08-02
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,yes,no,yes,yes,-2.0,no,yes,no,yes,no,259500,95422.0,322467,10.4,4149,-47.5,228275,Karen S. Lynch,U.S.,Woonsocket,RI,www.cvshealth.com,Public,"Market value as of July 17, 2023.",91242.0,2023-08-02
7,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),no,no,no,yes,0.0,no,no,no,yes,no,383000,675657.0,302089,9.4,-22819,-125.4,948452,Warren E. Buffett,U.S.,Omaha,NE,www.berkshirehathaway.com,Public,"Market value as of July 17, 2023.",752829.0,2023-08-02
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,yes,no,no,yes,0.0,no,no,no,yes,no,190234,1330201.0,282836,9.8,59972,-21.1,365264,Sundar Pichai,U.S.,Mountain View,CA,www.abc.xyz,Public,"Market value as of July 17, 2023.",1585270.0,2023-08-02
9,McKesson,MCK,Health Care,Wholesalers: Health Care,yes,no,no,no,0.0,no,no,no,yes,no,66500,48757.0,263966,10.8,1114,,63298,Brian S. Tyler,U.S.,Irving,TX,www.mckesson.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of July 17, 2023.",55787.0,2023-08-02
10,Chevron,CVX,Energy,Petroleum Refining,yes,no,no,yes,6.0,yes,no,no,yes,no,43846,311093.0,246252,51.6,35465,127.0,257709,Michael K. Wirth,U.S.,San Ramon,CA,www.chevron.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",290714.0,2023-08-02
11,AmerisourceBergen,ABC,Health Care,Wholesalers: Health Care,yes,no,no,yes,-1.0,no,yes,no,yes,no,41500,32384.0,238587,11.5,1699,10.3,56561,Steven H. Collis,U.S.,Conshohocken,PA,www.amerisourcebergen.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",38809.0,2023-08-02
12,Costco Wholesale,COST,Retailing,General Merchandisers,yes,no,no,yes,-1.0,no,yes,no,yes,no,304000,220354.0,226954,15.8,5844,16.7,64166,W. Craig Jelinek,U.S.,Issaquah,WA,www.costco.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",245043.0,2023-08-02
13,Microsoft,MSFT,Technology,Computer Software,yes,no,no,yes,1.0,yes,no,no,yes,no,221000,2146049.0,198270,18.0,72738,18.7,364840,Satya Nadella,U.S.,Redmond,WA,www.microsoft.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",2570671.0,2023-08-02
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,no,no,no,no,1.0,yes,no,no,yes,no,46035,19452.0,181364,11.6,-933,-252.7,43878,Jason Hollar,U.S.,Dublin,OH,www.cardinalhealth.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",23797.0,2023-08-02
15,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,yes,no,no,no,-3.0,no,yes,no,yes,no,70231,75901.0,180516,3.7,6668,24.3,143932,David M. Cordani,U.S.,Bloomfield,CT,www.thecignagroup.com,Public,"Market value as of July 17, 2023.",83187.0,2023-08-02
16,Marathon Petroleum,MPC,Energy,Petroleum Refining,yes,no,no,yes,3.0,yes,no,no,yes,no,17800,59544.0,180012,27.6,14516,49.1,89904,Michael J. Hennigan,U.S.,Findlay,OH,www.marathonpetroleum.com,Public,"Includes revenues from discontinued operations. Excise taxes have been deducted. Market value as of July 17, 2023.",50121.0,2023-08-02
